,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,金子 侑司,右,西武,1,1,1,0,1,0,0,129,ストレート,90.0,50.8,ボール,3,5,15,B9
1,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,金子 侑司,右,西武,1,1,1,0,2,1,0,130,ストレート,73.0,46.4,ファウル,3,4,14,S6
2,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,金子 侑司,右,西武,1,1,1,0,3,1,1,133,ストレート,51.5,47.2,ファウル,3,3,13,S5
3,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,金子 侑司,右,西武,1,1,1,0,4,1,2,127,フォーク,51.5,91.6,中安,5,3,23,B17
4,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,源田 壮亮,左,西武,1,1,2,1,1,0,0,134,ストレート,47.0,29.6,見逃し,2,3,8,S2
5,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,源田 壮亮,左,西武,1,1,2,1,2,0,1,134,ストレート,66.5,32.4,三ゴロ,2,4,9,S3
6,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,秋山 翔吾,左,西武,1,1,3,3,1,0,0,116,スライダー,12.5,70.0,ボール,4,1,16,B10
7,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,秋山 翔吾,左,西武,1,1,3,3,2,1,0,133,ストレート,66.5,73.2,見逃し,4,4,19,S9
8,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,秋山 翔吾,左,西武,1,1,3,3,3,1,1,134,ストレート,66.5,66.0,見逃し,4,4,19,S9
9,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,秋山 翔吾,左,西武,1,1,3,3,4,1,2,135,ストレート,16.5,65.2,ボール,4,1,16,B10
10,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,秋山 翔吾,左,西武,1,1,3,3,5,2,2,128,フォーク,46.5,91.2,空三振,5,3,23,B17
11,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,西川 遥輝,左,日本ハム,1,2,1,0,1,0,0,143,ストレート,74.5,52.0,ファウル,3,4,14,S6
12,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,西川 遥輝,左,日本ハム,1,2,1,0,2,0,1,144,ストレート,87.5,70.8,ボール,4,5,20,B11
13,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,西川 遥輝,左,日本ハム,1,2,1,0,3,1,1,144,ストレート,28.0,43.6,ファウル,3,2,12,S4
14,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,西川 遥輝,左,日本ハム,1,2,1,0,4,1,2,110,カーブ,55.0,92.0,ボール,5,3,23,B17
15,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,西川 遥輝,左,日本ハム,1,2,1,0,5,2,2,130,スライダー,66.0,51.6,ファウル,3,4,14,S6
16,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,西川 遥輝,左,日本ハム,1,2,1,0,6,2,3,146,ストレート,66.5,45.2,ファウル,3,4,14,S6
17,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,西川 遥輝,左,日本ハム,1,2,1,0,7,2,4,144,ストレート,15.5,55.6,ボール,3,1,11,B8
18,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,西川 遥輝,左,日本ハム,1,2,1,0,8,3,4,146,ストレート,14.0,28.4,四球,2,1,6,B6
19,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,大田 泰示,右,日本ハム,1,2,2,1,1,0,0,124,スライダー,73.5,70.8,空振り,4,4,19,S9
20,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,大田 泰示,右,日本ハム,1,2,2,1,2,0,1,125,スライダー,71.5,32.4,左安,2,4,9,S3
21,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,近藤 健介,左,日本ハム,1,2,3,2,1,0,0,147,ストレート,68.0,50.8,見逃し,3,4,14,S6
22,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,近藤 健介,左,日本ハム,1,2,3,2,2,0,1,144,ストレート,67.5,13.2,ボール,1,4,4,B4
23,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,近藤 健介,左,日本ハム,1,2,3,2,3,1,1,138,チェンジアップ,66.5,91.6,ボール,5,4,24,B18
24,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,近藤 健介,左,日本ハム,1,2,3,2,4,2,1,119,スライダー,34.5,14.8,ボール,1,2,2,B2
25,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,近藤 健介,左,日本ハム,1,2,3,2,5,3,1,139,チェンジアップ,29.5,91.6,投ゴロ,5,2,22,B16
26,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,中田 翔,右,日本ハム,1,2,4,2,1,0,0,131,スライダー,87.5,72.4,ボール,4,5,20,B11
27,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,中田 翔,右,日本ハム,1,2,4,2,2,1,0,148,ストレート,91.0,91.6,ボール,5,5,25,B19
28,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,中田 翔,右,日本ハム,1,2,4,2,3,2,0,141,ストレート,49.5,10.4,空振り,1,3,3,B3
29,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,中田 翔,右,日本ハム,1,2,4,2,4,2,1,145,ストレート,75.5,91.6,ボール,5,4,24,B18
30,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,中田 翔,右,日本ハム,1,2,4,2,5,3,1,146,ストレート,12.5,11.6,四球,1,1,1,B1
31,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,王 柏融,左,日本ハム,1,2,5,3,1,0,0,145,ストレート,75.0,65.2,見逃し,4,4,19,S9
32,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,王 柏融,左,日本ハム,1,2,5,3,2,0,1,135,チェンジアップ,14.5,68.8,二ゴロ,4,1,16,B10
33,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,山川 穂高,右,西武,2,1,1,1,1,0,0,133,ストレート,94.0,51.6,ボール,3,5,15,B9
34,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,山川 穂高,右,西武,2,1,1,1,2,1,0,130,ストレート,75.5,57.2,ファウル,3,4,14,S6
35,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,山川 穂高,右,西武,2,1,1,1,3,1,1,128,ストレート,74.5,13.2,ボール,1,4,4,B4
36,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,山川 穂高,右,西武,2,1,1,1,4,2,1,121,フォーク,76.5,26.4,見逃し,2,4,9,S3
37,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,山川 穂高,右,西武,2,1,1,1,5,2,2,134,ストレート,88.0,16.0,ファウル,1,5,5,B5
38,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,山川 穂高,右,西武,2,1,1,1,6,2,3,128,フォーク,53.5,91.6,空三振,5,3,23,B17
39,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,森 友哉,左,西武,2,1,2,1,1,0,0,99,カーブ,76.0,7.6,ボール,1,4,4,B4
40,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,森 友哉,左,西武,2,1,2,1,2,1,0,130,ストレート,89.5,27.6,ファウル,2,5,10,B7
41,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,森 友哉,左,西武,2,1,2,1,3,1,1,129,ストレート,55.0,14.0,ボール,1,3,3,B3
42,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,森 友哉,左,西武,2,1,2,1,4,2,1,127,フォーク,67.0,77.2,ファウル,4,4,19,S9
43,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,森 友哉,左,西武,2,1,2,1,5,2,2,129,ストレート,72.5,51.2,中２,3,4,14,S6
44,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,外崎 修汰,右,西武,2,1,3,2,1,0,0,127,ストレート,28.5,15.6,ボール,1,2,2,B2
45,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,外崎 修汰,右,西武,2,1,3,2,2,1,0,127,スライダー,29.0,91.6,空振り,5,2,22,B16
46,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,外崎 修汰,右,西武,2,1,3,2,3,1,1,140,ストレート,72.5,52.0,遊ゴロ,3,4,14,S6
47,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,栗山 巧,左,西武,2,1,4,3,1,0,0,131,ストレート,67.5,25.2,見逃し,2,4,9,S3
48,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,栗山 巧,左,西武,2,1,4,3,2,0,1,135,ストレート,47.0,27.6,見逃し,2,3,8,S2
49,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,栗山 巧,左,西武,2,1,4,3,3,0,2,135,ストレート,35.5,16.0,ボール,1,2,2,B2
50,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,栗山 巧,左,西武,2,1,4,3,4,1,2,135,ストレート,72.5,76.0,ファウル,4,4,19,S9
51,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,栗山 巧,左,西武,2,1,4,3,5,1,3,115,スライダー,13.5,65.6,ボール,4,1,16,B10
52,2019-04-06,2019040604,日本ハム,西武,加藤 貴之,左,日本ハム,栗山 巧,左,西武,2,1,4,3,6,2,3,136,ストレート,28.0,45.2,見三振,3,2,12,S4
53,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,横尾 俊建,右,日本ハム,2,2,1,1,1,0,0,145,ストレート,54.0,26.4,見逃し,2,3,8,S2
54,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,横尾 俊建,右,日本ハム,2,2,1,1,2,0,1,130,スライダー,94.0,76.0,ボール,4,5,20,B11
55,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,横尾 俊建,右,日本ハム,2,2,1,1,3,1,1,145,ストレート,90.5,49.6,ボール,3,5,15,B9
56,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,横尾 俊建,右,日本ハム,2,2,1,1,4,2,1,128,スライダー,75.5,56.4,見逃し,3,4,14,S6
57,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,横尾 俊建,右,日本ハム,2,2,1,1,5,2,2,146,ストレート,35.0,13.6,ボール,1,2,2,B2
58,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,横尾 俊建,右,日本ハム,2,2,1,1,6,3,2,145,ストレート,76.0,46.0,ファウル,3,4,14,S6
59,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,横尾 俊建,右,日本ハム,2,2,1,1,7,3,3,143,ストレート,76.5,15.6,ファウル,1,4,4,B4
60,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,横尾 俊建,右,日本ハム,2,2,1,1,8,3,4,128,スライダー,45.5,24.0,見三振,2,3,8,S2
61,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,渡邉 諒,右,日本ハム,2,2,2,1,1,0,0,145,ストレート,67.5,50.8,ファウル,3,4,14,S6
62,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,渡邉 諒,右,日本ハム,2,2,2,1,2,0,1,103,カーブ,95.5,91.6,ボール,5,5,25,B19
63,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,渡邉 諒,右,日本ハム,2,2,2,1,3,1,1,132,チェンジアップ,14.5,66.8,ボール,4,1,16,B10
64,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,渡邉 諒,右,日本ハム,2,2,2,1,4,2,1,145,ストレート,67.5,55.6,ファウル,3,4,14,S6
65,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,渡邉 諒,右,日本ハム,2,2,2,1,5,2,2,134,チェンジアップ,76.0,91.6,ボール,5,4,24,B18
66,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,渡邉 諒,右,日本ハム,2,2,2,1,6,3,2,130,スライダー,86.5,75.6,四球,4,5,20,B11
67,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,鶴岡 慎也,右,日本ハム,2,2,3,2,1,0,0,142,ストレート,66.5,48.8,遊ゴロ,3,4,14,S6
68,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,中島 卓也,左,日本ハム,2,2,4,3,1,0,0,139,ストレート,26.5,45.2,見逃し,3,2,12,S4
69,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,中島 卓也,左,日本ハム,2,2,4,3,2,0,1,140,ストレート,14.0,44.0,ボール,3,1,11,B8
70,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,中島 卓也,左,日本ハム,2,2,4,3,3,1,1,126,スライダー,68.5,91.2,空振り,5,4,24,B18
71,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,中島 卓也,左,日本ハム,2,2,4,3,4,1,2,142,ストレート,76.0,25.6,空三振,2,4,9,S3
72,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,中村 剛也,右,西武,3,1,1,1,1,0,0,135,ストレート,87.0,26.4,ボール,2,5,10,B7
73,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,中村 剛也,右,西武,3,1,1,1,2,1,0,132,スライダー,92.0,90.8,ボール,5,5,25,B19
74,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,中村 剛也,右,西武,3,1,1,1,3,2,0,140,シュート,47.0,49.6,見逃し,3,3,13,S5
75,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,中村 剛也,右,西武,3,1,1,1,4,2,1,140,ストレート,74.5,85.2,空振り,5,4,24,B18
76,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,中村 剛也,右,西武,3,1,1,1,5,2,2,129,チェンジアップ,88.5,71.6,空三振,4,5,20,B11
77,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,木村 文紀,右,西武,3,1,2,1,1,0,0,0,スライダー,90.0,71.6,ボール,4,5,20,B11
78,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,木村 文紀,右,西武,3,1,2,1,2,1,0,128,フォーク,68.5,51.6,ファウル,3,4,14,S6
79,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,木村 文紀,右,西武,3,1,2,1,3,1,1,0,カットボール,53.5,49.2,左安,3,3,13,S5
80,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,金子 侑司,左,西武,3,1,3,1,1,0,0,137,ストレート,13.0,50.0,ボール,3,1,11,B8
81,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,金子 侑司,左,西武,3,1,3,1,2,1,0,136,カットボール,47.0,87.2,ボール,5,3,23,B17
82,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,金子 侑司,左,西武,3,1,3,1,3,2,0,138,ストレート,67.5,50.0,ファウル,3,4,14,S6
83,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,金子 侑司,左,西武,3,1,3,1,4,2,1,0,シュート,29.0,53.2,見逃し,3,2,12,S4
84,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,金子 侑司,左,西武,3,1,3,1,5,2,2,138,ストレート,72.5,85.2,ボール,5,4,24,B18
85,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,金子 侑司,左,西武,3,1,3,1,6,3,2,127,チェンジアップ,12.5,24.8,四球,2,1,6,B6
86,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,源田 壮亮,左,西武,3,1,4,1,1,0,0,127,フォーク,51.5,88.8,ボール,5,3,23,B17
87,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,源田 壮亮,左,西武,3,1,4,1,2,1,0,138,カットボール,76.0,88.4,ボール,5,4,24,B18
88,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,源田 壮亮,左,西武,3,1,4,1,3,2,0,138,ストレート,66.5,92.0,ボール,5,4,24,B18
89,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,源田 壮亮,左,西武,3,1,4,1,4,3,0,140,ストレート,91.0,89.2,四球,5,5,25,B19
90,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,秋山 翔吾,左,西武,3,1,5,1,1,0,0,128,フォーク,15.0,54.8,ボール,3,1,11,B8
91,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,秋山 翔吾,左,西武,3,1,5,1,2,1,0,143,ストレート,75.5,44.8,ファウル,3,4,14,S6
92,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,秋山 翔吾,左,西武,3,1,5,1,3,1,1,139,ストレート,75.0,91.6,ボール,5,4,24,B18
93,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,秋山 翔吾,左,西武,3,1,5,1,4,2,1,124,チェンジアップ,87.0,56.4,ファウル,3,5,15,B9
94,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,秋山 翔吾,左,西武,3,1,5,1,5,2,2,132,チェンジアップ,88.0,88.8,ファウル,5,5,25,B19
95,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,秋山 翔吾,左,西武,3,1,5,1,6,2,3,142,シュート,14.5,15.6,ボール,1,1,1,B1
96,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,秋山 翔吾,左,西武,3,1,5,1,7,3,3,128,チェンジアップ,27.5,51.2,右２,3,2,12,S4
97,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,山川 穂高,右,西武,3,1,6,2,1,0,0,143,ストレート,55.0,30.0,見逃し,2,3,8,S2
98,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,山川 穂高,右,西武,3,1,6,2,2,0,1,133,カットボール,67.5,55.6,ファウル,3,4,14,S6
99,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,山川 穂高,右,西武,3,1,6,2,3,0,2,144,ストレート,90.0,66.0,ボール,4,5,20,B11
100,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,山川 穂高,右,西武,3,1,6,2,4,1,2,136,ストレート,28.5,25.6,見三振,2,2,7,S1
101,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,森 友哉,左,西武,3,1,7,2,1,0,0,127,チェンジアップ,68.0,36.0,ファウル,2,4,9,S3
102,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,森 友哉,左,西武,3,1,7,2,2,0,1,139,ストレート,14.0,25.2,ボール,2,1,6,B6
103,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,森 友哉,左,西武,3,1,7,2,3,1,1,134,チェンジアップ,54.0,92.4,ボール,5,3,23,B17
104,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,森 友哉,左,西武,3,1,7,2,4,2,1,144,ストレート,56.5,51.2,ファウル,3,3,13,S5
105,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,森 友哉,左,西武,3,1,7,2,5,2,2,137,ストレート,11.5,44.0,ボール,3,1,11,B8
106,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,森 友哉,左,西武,3,1,7,2,6,3,2,133,カットボール,49.0,57.2,左本,3,3,13,S5
107,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,外崎 修汰,右,西武,3,1,8,3,1,0,0,129,スライダー,90.0,88.0,ボール,5,5,25,B19
108,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,外崎 修汰,右,西武,3,1,8,3,2,1,0,137,ストレート,75.5,56.8,中飛,3,4,14,S6
109,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,西川 遥輝,左,日本ハム,3,2,1,1,1,0,0,124,スライダー,48.5,50.4,見逃し,3,3,13,S5
110,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,西川 遥輝,左,日本ハム,3,2,1,1,2,0,1,143,ストレート,16.0,44.8,ボール,3,1,11,B8
111,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,西川 遥輝,左,日本ハム,3,2,1,1,3,1,1,144,ストレート,31.5,15.6,ボール,1,2,2,B2
112,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,西川 遥輝,左,日本ハム,3,2,1,1,4,2,1,146,ストレート,45.0,6.8,ボール,1,3,3,B3
113,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,西川 遥輝,左,日本ハム,3,2,1,1,5,3,1,145,ストレート,46.5,26.0,見逃し,2,3,8,S2
114,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,西川 遥輝,左,日本ハム,3,2,1,1,6,3,2,144,ストレート,29.5,84.8,二ゴロ,5,2,22,B16
115,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,大田 泰示,右,日本ハム,3,2,2,2,1,0,0,129,チェンジアップ,34.0,8.4,ボール,1,2,2,B2
116,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,大田 泰示,右,日本ハム,3,2,2,2,2,1,0,130,スライダー,74.5,25.2,左飛,2,4,9,S3
117,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,近藤 健介,左,日本ハム,3,2,3,3,1,0,0,147,ストレート,74.5,24.8,見逃し,2,4,9,S3
118,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,近藤 健介,左,日本ハム,3,2,3,3,2,0,1,138,スライダー,74.5,92.0,ボール,5,4,24,B18
119,2019-04-06,2019040604,日本ハム,西武,今井 達也,右,西武,近藤 健介,左,日本ハム,3,2,3,3,3,1,1,144,ストレート,68.5,36.8,左飛,2,4,9,S3
120,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,栗山 巧,左,西武,4,1,1,0,1,0,0,124,スライダー,89.5,90.4,ボール,5,5,25,B19
121,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,栗山 巧,左,西武,4,1,1,0,2,1,0,137,ストレート,48.5,91.2,右安,5,3,23,B17
122,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,中村 剛也,右,西武,4,1,2,2,1,0,0,135,カットボール,76.5,90.0,空振り,5,4,24,B18
123,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,中村 剛也,右,西武,4,1,2,2,2,0,1,132,シュート,48.5,74.4,ファウル,4,3,18,S8
124,2019-04-06,2019040604,日本ハム,西武,金子 弌大,右,日本ハム,中村 剛也,右,西武,4,1,2,2,3,0,2,0,ストレート,69.5,16.0,ファウル,1,4,4,B4
